Comments,Cleaned_Comments,Translated_Comments,Fully_Cleaned_Comments,Sentiment
Mokka padam....🤣🤣  Fulla cringe <br>NXT balayya ready😂😂😂,mokka padam fulla cringe brnxt balayya ready,Mokka extinguished Fulla Cringe Brnxt Balayya Ready,Mokka extinguished Fulla Cringe Brnxt Balayya Ready,Positive
Japan fight scene is dream scene for hero... Director shown this scene for hero intro<br>😂,japan fight scene is dream scene for hero director shown this scene for hero introbr,japan fight scene is dream scene for hero director shown this scene for hero introbr,japan fight scene is dream scene for hero director shown this scene for hero introbr,Neutral
இது ஏதோ ஜாபர் ஜாதிக் படம் போல இருக்கு,இத ஏத ஜபர ஜதக படம பல இரகக,This is a multi -faceted film,This is a multi faceted film,Neutral
"அங்கே படம் 1000 கோடி தாண்டி, ரிவியூ போட்டவன் வாயில் எல்லாம் மண்ணை போட்டுக்கிட்டு இருக்கு...போங்கப்பா.",அஙக படம கட தணட ரவய படடவன வயல எலலம மணண படடககடட இரககபஙகபப,The image of the film is available in the film.,The image of the film is available in the film,Positive
வாய்க்கால் தகறாறு😂😂,வயககல தகறற,Agal threll,Agal threll,Neutral
Ff ah dummy ah kaatitunga waste.1st part la ff oda ego and psycho thanama kovam dha padathuku plus,ff ah dummy ah kaatitunga wastest part la ff oda ego and psycho thanama kovam dha padathuku plus,ff ah dummy ah kaatitunga wastest part la ff oda ego and psycho thanama kovam dha solid huku plus,ff ah dummy ah kaatitunga wastest part la ff oda ego and psycho thanama kovam dha solid huku plus,Neutral
"Seriously, such a good review.",seriously such a good review,seriously such a good review,seriously such a good review,Positive
"உடம்பு வலியே, தலவலியோ இல்லை😂😂",உடமப வலய தலவலய இலல,Body Zone Headquarters,Body Zone Headquarters,Neutral
Yen intha padatha pakkanum ...same feeling,yen intha padatha pakkanum same feeling,Yen Intha Solidha Pakkanum Same Feeling,Yen Intha Solidha Pakkanum Same Feeling,Neutral
5.40 😂😂😂,,,,Neutral
2000cr chumma va 🔥,cr chumma va,cr chumma va,cr chumma va,Neutral
Mokka padam,mokka padam,Mokka goes out,Mokka goes out,Neutral
ஜப்பான்காரன் தமிழ் பேசும்போது தமிழன் ஜாப்னீஸ் பேசக்கூடாதா,ஜபபனகரன தமழ பசமபத தமழன ஜபனஸ பசககடத,Japanagarana Tamil,Japanagarana Tamil,Neutral
Athavathu telugu padatha romba telugu padama ethutanga nu review la solran. Enna na solran parunga.,athavathu telugu padatha romba telugu padama ethutanga nu review la solran enna na solran parunga,Athavathu Telugu Solidha Romba Telugu in Ethbata NU NU Review La Solran Enna Na Solran Parunga,Athavathu Telugu Solidha Romba Telugu in Ethbata NU NU Review La Solran Enna Na Solran Parunga,Neutral
Pushpa Purusan Vera Aalu Ya 😂 blue satta Ivan allu arjun Dubakoor 2 avan no 1 dubakoor,pushpa purusan vera aalu ya blue satta ivan allu arjun dubakoor avan no dubakoor,Pushpa Purusan Vera Aalu Ya Blue Satta Ivan Allu Arjun Dubakoor Avan No DuboOor,Pushpa Purusan Vera Aalu Ya Blue Satta Ivan Allu Arjun Dubakoor Avan No DuboOor,Neutral
Don&#39;t mind the review the movie is 🔥,dont mind the review the movie is,dont mind the review the movie is,dont mind the review the movie is,Neutral
Pushpa purushan😂😂😂😂,pushpa purushan,Pushpa Purushan,Pushpa Purushan,Neutral
Jealousy kudi,jealousy kudi,Jealousy Kudi,Jealousy Kudi,Neutral
Mental kuthi movie super,mental kuthi movie super,Mental Kuthi Movie Super,Mental Kuthi Movie Super,Positive
Surya thakkapattar,surya thakkapattar,Surya Thakkapattar,Surya Thakkapattar,Neutral
படம் நல்லா தா இருக்கு 🔥,படம நலல த இரகக,Image welfare,Image welfare,Neutral
"He is giving some good review to Pushpa 2, even after the movie is Telugu masala stuff. While he gave the worst review to the one of the best movie(Jigarthanda Double x) .",he is giving some good review to pushpa even after the movie is telugu masala stuff while he gave the worst review to the one of the best moviejigarthanda double x,he is giving some good review to pushpa even after the movie is telugu masala stuff while he gave the worst review to the one of the best moviejigarthanda double x,he is giving some good review to pushpa even after the movie is telugu masala stuff while he gave the worst review to the one of the best moviejigarthanda double x,Positive
அப்ப எப்படிடா 1000 கோடி collection ஆச்சு,அபப எபபடட கட collection ஆசச,Collection,Collection,Neutral
"Rashmika, Allu Arjun manushangala kooda madhikala paavam😂😂😂",rashmika allu arjun manushangala kooda madhikala paavam,The Allu Arjun Menshalla Paulka Paavam,The Allu Arjun Menshalla Paulka Paavam,Neutral
Ne oru padam yedu athuku na review panre. 🪿🪿🪿🪿,ne oru padam yedu athuku na review panre,I don't get to fall Yeda Athuku on Review Panre,I dont get to fall Yeda Athuku on Review Panre,Neutral
Ni oru padam eduthu just 3 crore vasool panni katraa karuvanda...unakum kooda ithana peru support panranga paru idhellam dhan da tamil padam 1000 crore reach panna kastapaduthu,ni oru padam eduthu just crore vasool panni katraa karuvandaunakum kooda ithana peru support panranga paru idhellam dhan da tamil padam crore reach panna kastapaduthu,Ni Oru Out Eduthu Just Crore Vasool Panni Katraa Karuvandaunakum Kooda Ithana Peru Support Panranga Lung Idhellam Dhan Da Tamil Odd Crore Reach Panna Kastapaduthu,Ni Oru Out Eduthu Just Crore Vasool Panni Katraa Karuvandaunakum Kooda Ithana Peru Support Panranga Lung Idhellam Dhan Da Tamil Odd Crore Reach Panna Kastapaduthu,Negative
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=319"">5:19</a> 😂😂😂😂",a href,and href,and href,Neutral
2000 crores coming soon,crores coming soon,crores coming soon,crores coming soon,Neutral
ஆண்டி இந்தியன் தான் அருமையான படம் 😂😂😂,ஆணட இநதயன தன அரமயன படம,Ordinary,Ordinary,Negative
"ZUPEE - ல் பல ஆயிரங்களையும், லட்சங்களையும் வென்று தன்னைப் போல ஏழை எளிய மக்களும் வெற்றிப் பெற்று வாழ்க்கையில் முன்னேற வேண்டுமென்ற உயர்ந்த எண்ணத்தோடு செயல்படும் ** யூடியூபர்ஸ்** அனைவரையும் பாராட்டுவோர் சார்பாக வாழ்த்துக்கள்..",zupee ல பல ஆயரஙகளயம லடசஙகளயம வனற தனனப பல ஏழ எளய மககளம வறறப பறற வழககயல மனனற வணடமனற உயரநத எணணததட சயலபடம யடயபரஸ அனவரயம பரடடவர சரபக வழததககள,Zupee is a multi -faceted manner in the world.,Zupee is a multi faceted manner in the world,Neutral
குப்பை படம் அருவருக்க தக்க படங்களும் 1000 கோடி தாண்டும் அபாயம் நிலவுகிறது. மக்களின் ரசனை தரம் குறைந்து விட்டதா? 😮,கபப படம அரவரகக தகக படஙகளம கட தணடம அபயம நலவகறத மககளன ரசன தரம கறநத வடடத,The image of the film is not the best quality of life.,The image of the film is not the best quality of life,Positive
❤❤😂e😂😂,e,and,and,Neutral
Dont see all these reviews.<br>Go watch and enjoy.<br>Technically strong movie.<br>Lot of scenes to enjoy.,dont see all these reviewsbrgo watch and enjoybrtechnically strong moviebrlot of scenes to enjoy,dont see all these reviewsbrgo watch and enjoybrtechnically strong moviebrlot of scenes to enjoy,dont see all these reviewsbrgo watch and enjoybrtechnically strong moviebrlot of scenes to enjoy,Positive
Blue satta oombi AK va thappa pesadha potta,blue satta oombi ak va thappa pesadha potta,Blue Satta Oombi Ak Va Thappa Pesadha Potta,Blue Satta Oombi Ak Va Thappa Pesadha Potta,Neutral
Dai sattai ajith sir enna da sonna munijila thoppaya ippo gbu la paaru enga thala ya odambu fulla thoopa ulundhavaney kelattu modom,dai sattai ajith sir enna da sonna munijila thoppaya ippo gbu la paaru enga thala ya odambu fulla thoopa ulundhavaney kelattu modom,Dai Sattena Ajith Sir Enna Da Sonna Munijila Thoppaya IPPO GBU La Paaru Ba Thala Yes Odambu Fulla Thoolopa Ulundhavaney Kelattu Modom,Dai Sattena Ajith Sir Enna Da Sonna Munijila Thoppaya IPPO GBU La Paaru Ba Thala Yes Odambu Fulla Thoolopa Ulundhavaney Kelattu Modom,Neutral
PHOTOSHOP பண்ணி பொண்டாட்டி கிட்டே காட்ட வேண்டியது தானே,photoshop பணண பணடடட கடட கடட வணடயத தன,Photoshop money laundering,Photoshop money laundering,Neutral
WFH Green mat😂😂😂,wfh green mat,WFH Green Mat,WFH Green Mat,Negative
Don&#39;t lie film super,dont lie film super,whose super movie super,whose super movie super,Positive
movie is nice only for entertainment purpose,movie is nice only for entertainment purpose,movie is nice only for entertainment purpose,movie is nice only for entertainment purpose,Positive
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=45"">0:45</a> sec review start agum guys",a href sec review start agum guys,a href sec review start agum guys,a href sec review start agum guys,Negative
சூப்பர்,சபபர,Savage,Savage,Neutral
Nenga mattum tha Entha padathai correct ah vimarsanam pannunge,nenga mattum tha entha padathai correct ah vimarsanam pannunge,Nenga Mattum Tha Entha Solid Correct Ah Vimarsanam Pannunge,Nenga Mattum Tha Entha Solid Correct Ah Vimarsanam Pannunge,Neutral
Enna tala neeyum sofa vangitiya😂😂😂,enna tala neeyum sofa vangitiya,Enna tala neeyum sofa vangitiya,Enna tala neeyum sofa vangitiya,Neutral
Yow padathula kathala yedhuvum illa anaa padam samma vibehhhhhh😂,yow padathula kathala yedhuvum illa anaa padam samma vibehhhhhh,yow solid kathala yedhuvum illa anaa extinguished samma vibehhhhhhhhhhhhhhhhhhhhhhh,yow solid kathala yedhuvum illa anaa extinguished samma vibehhhhhhhhhhhhhhhhhhhhhhh,Neutral
Ipothaan padatha paathan theatrela<br>Semmayaa irunthuchuu🔥🔥,ipothaan padatha paathan theatrelabrsemmayaa irunthuchuu,ipothaan padatha paathan theatrelabrsemmayaa irunthuchuu,ipothaan padatha paathan theatrelabrsemmayaa irunthuchuu,Neutral
Part 1 eh marana mokka cringe padam idhula part 2... irritating ra reiiii 😂😂😂,part eh marana mokka cringe padam idhula part irritating ra reiiii,part eh marana mokka cringe extinguished idhula part irritating ra reiiii,part eh marana mokka cringe extinguished idhula part irritating ra reiiii,Negative
First scene to release in Japan,first scene to release in japan,first scene to release in japan,first scene to release in japan,Positive
"Yov, padam 1000 kodi ya thaandiducchu ya…",yov padam kodi ya thaandiducchu ya,Yov extinguished Kodi yes thandiducchu huh,Yov extinguished Kodi yes thandiducchu huh,Neutral
வணக்கம் கருத்து தெரிவிச்சவங்க கருத்து சொல்றவங்களையும் சேர்ந்து ஒரு படம் எடுத்தால் எப்படி இருக்கும் இந்த பச்சை சட்டை மாறன் ஒரு கேவலமா ஒரு பணத்தை எடுத்தார் அடுத்த படத்துக்கு ரிவ்யூ சொல்றாராமா கருத்து சொல்வதற்கெல்லாம் கந்தசாமி இருக்கீங்க படத்தை எடுத்து காட்டுங்க பார்க்கலாம் 😅😅😅,வணககம கரதத தரவசசவஙக கரதத சலறவஙகளயம சரநத ஒர படம எடததல எபபட இரககம இநத பசச சடட மறன ஒர கவலம ஒர பணதத எடததர அடதத படததகக ரவய சலறரம கரதத சலவதறகலலம கநதசம இரககஙக படதத எடதத கடடஙக பரககலம,A picture of a picture of a picture of a copy of the film is one of the most important things to do.,A picture of a picture of a picture of a copy of the film is one of the most important things to do,Positive
"Full movie super, don&#39;t believe this reviewnambathinga",full movie super dont believe this reviewnambathinga,full movie super dont believe this reviewnambathinga,full movie super dont believe this reviewnambathinga,Positive
"Nee oru dubakkur, unakkellam oru channel.",nee oru dubakkur unakkellam oru channel,nee valley dubakkur unakkellam Oru Channel,nee valley dubakkur unakkellam Oru Channel,Neutral
Poda waste,poda waste,will serve waste,will serve waste,Negative
Attu mokka movie. Padam ullayum veliyayum buildup mattum dhan. Annan blue sattai mattum dhan genuine review for this movie.,attu mokka movie padam ullayum veliyayum buildup mattum dhan annan blue sattai mattum dhan genuine review for this movie,attu mokka movie padam ullayum veliyayum buildup mattum dhan annan blue sattai mattum dhan genuine review for this movie,attu mokka movie padam ullayum veliyayum buildup mattum dhan annan blue sattai mattum dhan genuine review for this movie,Positive
ப்ளூ சட்டைமாறன் நீங்கள் சொல்வது போல் ஃபர்ஸ்ட் ஹாபில் சீன்கள் இருந்தது செகண்ட் ஆப்பிள் நீங்கள் எதிர்பார்க்க ஆபாச காட்சிகள் குறைவுதான்,பள சடடமறன நஙகள சலவத பல ஃபரஸட ஹபல சனகள இரநதத சகணட ஆபபள நஙகள எதரபரகக ஆபச கடசகள கறவதன,Many of the most important things that are available in the world are the most common types of hazards.,Many of the most important things that are available in the world are the most common types of hazards,Positive
RUDHIRAM Movie Review !!!!| Raj B Shetty,rudhiram movie review raj b shetty,Redhiram Movie Review Raj B Shetty,Redhiram Movie Review Raj B Shetty,Neutral
Padam super,padam super,SUPER POWER,SUPER POWER,Positive
கொடுமை படம் ! ப்ளூ சட்டையை நம்பி ஃபர்ஸ்ட் ஹாஃப் ஆவது நல்ல இருக்கும்னு போனா !,கடம படம பள சடடய நமப ஃபரஸட ஹஃப ஆவத நலல இரககமன பன,Kathama Pattala Namapa Farasada,Kathama Pattala Namapa Farasada,Neutral
😂😂😂😂😂,,,,Neutral
😂😂😂😂😂,,,,Neutral
"Dai pulu satta , mass movida🎉",dai pulu satta mass movida,Dai Pulu Satta Mass Movida,Dai Pulu Satta Mass Movida,Neutral
